,Prey,PreyGroup,Predator,PredGroup,PredStrategy,FoodSource,Reference,Reference_link,Observation
375,Maldaniidae,Polychaeta,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Belleggia_etal_2008,https://doi.org/10.3989/scimar.2008.72n4701,
376,Micromesistius_australis,Fish_Pel,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
377,Munida_gregaria,Decapoda,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
378,Munida_spinosa,Decapoda,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003; Belleggia_etal_2008,https://doi.org/10.1017/S0025315403008373h; https://doi.org/10.3989/scimar.2008.72n4701,
379,Munida_spinosa,Decapoda,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
380,Myxine_australis,Fish_Demersal,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
381,Myxine_debueni,Fish_Demersal,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
382,Myxine_sp,Fish_Demersal,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
383,Nephtys_sp,Polychaeta,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Belleggia_etal_2008,https://doi.org/10.3989/scimar.2008.72n4701,Inferred from Nephtyidae
384,Odontocymbiola_magellanica,Gastropoda,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Belleggia_etal_2008,https://doi.org/10.3989/scimar.2008.72n4701,
385,Ophiuroidea *,Echinodermata,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,* need to be more specific (which Ophiuroidea?)
386,Patagonotothen_cornucola,Fish_BenPel,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
387,Patagonotothen_elegans,Fish_BenPel,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
388,Patagonotothen_guntheri,Fish_BenPel,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
389,Patagonotothen_kreffti,Fish_BenPel,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Belleggia_etal_2008,https://doi.org/10.3989/scimar.2008.72n4701,
390,Patagonotothen_ramsayi,Fish_BenPel,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
391,Polychaeta *,Polychaeta,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,* need to be more specific (which Polychaeta?)
392,Sprattus_fuegensis,Fish_Pel,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
393,Themisto_gaudichaudii,Amphipoda,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
394,Tinerfe_cyanea,Zooplankton,Bathyraja_brachyurops,Fish_Demersal,Hunter,Heterotroph,Mianzan_etal_1996,https://doi.org/10.1016/0165-7836(95)00459-9,
395,Bathyraja_griseocauda,Fish_Demersal,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
396,Bathyraja_multispinis,Fish_Demersal,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
397,Bathyraja_scaphiops,Fish_Demersal,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
398,Buccinidae *,Gastropoda,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,* need to be more specific (which Buccinidae?)
399,Cottoperca_trigloides,Fish_BenPel,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
400,Dissostichus_eleginoides,Fish_BenPel,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
401,Doryteuthis_gahi,Cephalopoda,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
402,Euphausia_spp,Zooplankton,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
403,Isopoda *,Isopoda,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,* need to be more specific (which Isopoda?)
404,Micromesistius_australis,Fish_Pel,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
405,Munida_gregaria,Decapoda,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
406,Munida_spinosa,Decapoda,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
407,Myxine_australis,Fish_Demersal,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
408,Myxine_debueni,Fish_Demersal,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
409,Myxine_sp,Fish_Demersal,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
410,Patagonotothen_cornucola,Fish_BenPel,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
411,Patagonotothen_elegans,Fish_BenPel,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
412,Patagonotothen_guntheri,Fish_BenPel,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
413,Patagonotothen_ramsayi,Fish_BenPel,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
414,Polychaeta *,Polychaeta,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,* need to be more specific (which Polychaeta?)
415,Psammobatis_rudis,Fish_Demersal,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
416,Sprattus_fuegensis,Fish_Pel,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
417,Themisto_gaudichaudii,Amphipoda,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
418,Thymops_birsteini,Decapoda,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Brickle_etal_2003,https://doi.org/10.1017/S0025315403008373h,
419,Tinerfe_cyanea,Zooplankton,Bathyraja_griseocauda,Fish_Demersal,Hunter,Heterotroph,Mianzan_etal_1996,https://doi.org/10.1016/0165-7836(95)00459-9,
420,Tinerfe_cyanea,Zooplankton,Bathyraja_macloviana,Fish_Demersal,Hunter,Heterotroph,Mianzan_etal_1996,https://doi.org/10.1016/0165-7836(95)00459-9,
421,Bacillariophyceae *,Bacillariophyceae,Boccardia_sp,Polychaeta,Deposit-feeder,Primary producer,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Boccardia,
422,Bacteria,Bacteria,Boccardia_sp,Polychaeta,Deposit-feeder,Bacteria,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Boccardia,
423,Detritus,Non-living,Boccardia_sp,Polychaeta,Deposit-feeder,Detritus,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,
424,Foraminifera,Foraminifera,Boccardia_sp,Polychaeta,Deposit-feeder,Primary producer,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Foraminifera,
425,Orbiniidae,Polychaeta,Boccardia_sp,Polychaeta,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/157,
426,Zooplankton *,Zooplankton,Bougainvillia_macloviana,Cnidaria,Suspension-feeder,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46550398,* need to be more specific (which Zooplankton?)
427,Eteone_aurantiaca,Polychaeta,Buccinidae *,Gastropoda,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Phyllodocidae,* need to be more specific (which Buccinidae?)
428,Eteone_sp,Polychaeta,Buccinidae *,Gastropoda,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Phyllodocidae,* need to be more specific (which Buccinidae?)
429,Eunereis_patagonica,Polychaeta,Buccinidae *,Gastropoda,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Nereididae,* need to be more specific (which Buccinidae?)
430,Necromass,Non-living,Buccinidae *,Gastropoda,Scavenger,Necromass,Pastorino_pers.com.,NA,* need to be more specific (which Buccinidae?)
431,Nicon_maculata,Polychaeta,Buccinidae *,Gastropoda,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Nereididae,* need to be more specific (which Buccinidae?)
432,Sabellidae,Polychaeta,Buccinidae *,Gastropoda,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Sabellidae,* need to be more specific (which Buccinidae?)
433,Detritus,Non-living,Caecianiropsis_ectiformis,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
434,Dictyocha_speculum,Silicoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
435,Emiliania_huxleyi,Coccolithophorids,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
436,Fragilariopsis_kerguelensis,Bacillariophyceae,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
437,Paralia_sulcata,Bacillariophyceae,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
438,Phaeocystis_antarctica,Coccolithophorids,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
439,Protoperidinium_sp,Dinoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
440,Rhizosolenia_crassa,Bacillariophyceae,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
441,Azadinium_sp,Dinoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
442,Cyrtostrombidium_sp,Ciliates,Calanus_spp,Zooplankton,Suspension-feeder,Heterotroph,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
443,Detritus,Non-living,Calanus_spp,Zooplankton,Suspension-feeder,Detritus,Atkinson_1998,https://doi.org/10.1016/S0924-7963(97)00081-X,Aggregated: Calanus_australis and Calanus_simillimus
444,Dictyocha_speculum,Silicoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
445,Dinophysis_acuminata,Dinoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
446,Fragilariopsis_kerguelensis,Bacillariophyceae,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
447,Gymnodinium_sp,Dinoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
448,Gyrodinium_sp,Dinoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
449,Gyrodinium_spirale,Dinoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
450,Laboea_strobila,Ciliates,Calanus_spp,Zooplankton,Suspension-feeder,Heterotroph,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
451,Lohmanniella_sp,Ciliates,Calanus_spp,Zooplankton,Suspension-feeder,Heterotroph,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
452,Navicula_sp,Bacillariophyceae,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
453,Protoperidinium_sp,Dinoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
454,Pseudonitzschia_sp,Bacillariophyceae,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
455,Rhizosolenia_crassa,Bacillariophyceae,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
456,Strobilidium_sp,Ciliates,Calanus_spp,Zooplankton,Suspension-feeder,Heterotroph,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
457,Strombidinopsis_sp,Ciliates,Calanus_spp,Zooplankton,Suspension-feeder,Heterotroph,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
458,Strombidium_conicum,Ciliates,Calanus_spp,Zooplankton,Suspension-feeder,Heterotroph,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
459,Strombidium_sp,Ciliates,Calanus_spp,Zooplankton,Suspension-feeder,Heterotroph,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
460,Thalassionema_nitzschioides,Bacillariophyceae,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Schultes_etal_2006,https://doi.org/10.1016/j.jembe.2006.06.028,Aggregated: Calanus_australis and Calanus_simillimus
461,Porifera *,Porifera,Calliostoma_modestulum,Gastropoda,Hunter,Heterotroph,Pastorino_pers.com.,NA,* need to be more specific (which Porifera?)
462,Porifera *,Porifera,Calliostoma_moebiusi,Gastropoda,Hunter,Heterotroph,Pastorino_pers.com.,NA,* need to be more specific (which Porifera?)
463,Aspidostoma_giganteum,Bryozoa,Callochiton_puniceus,Polyplacophora,Grazer,Heterotroph,Urteaga_pers.com.,NA,"Inferred from Bryozoan colony form (Taylor et al. 2013, https://doi.org/10.1111/sed.12032)"
464,Detritus,Non-living,Callochiton_puniceus,Polyplacophora,Deposit-feeder,Detritus,Urteaga_pers.com.,NA,Congress abstract got from D Urteaga
465,Phytoplankton *,Phytoplankton,Callochiton_puniceus,Polyplacophora,Grazer,Primary producer,Encyclopedia of Life,https://eol.org/pages/4941339,* which Phytoplankton is epiphytic? consultar con Ire y cia
466,Phytoplankton *,Phytoplankton,Callochiton_puniceus,Polyplacophora,Grazer,Primary producer,Encyclopedia of Life,https://eol.org/pages/4941339,"* Grazing, need to be more specific (which Phytoplankton?)"
467,Zooplankton *,Zooplankton,Campanularia_sp,Cnidaria,Suspension-feeder,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46551752,* need to be more specific (which Zooplankton?)
468,Bacillariophyceae *,Bacillariophyceae,Campylaspis_bacescui,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Taken from Campylaspis_maculata; * need to be more specific (which Bacillariophyceae?)
469,Calanus_spp,Zooplankton,Campylaspis_bacescui,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Aggregated: Calanus_australis and Calanus_simillimus
470,Clausocalanus_spp,Zooplankton,Campylaspis_bacescui,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Aggregated: Clausocalanus_brevipes and Clausocalanus_laticeps
471,Ctenocalanus_vanus,Zooplankton,Campylaspis_bacescui,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Inferred from Campylaspis_maculata and Calanoida
472,Drepanopus_forcipatus,Zooplankton,Campylaspis_bacescui,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Inferred from Campylaspis_maculata and Calanoida
473,Necromass,Non-living,Campylaspis_bacescui,Cumacea,Scavenger,Necromass,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Inferred from Campylaspis_maculata
474,Neocalanus_tonsus,Zooplankton,Campylaspis_bacescui,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Inferred from Campylaspis_maculata and Calanoida
475,Polychaeta *,Polychaeta,Campylaspis_bacescui,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Taken from Campylaspis_maculata; * need to be more specific (which Polychaeta?)
476,Polychaeta *,Polychaeta,Campylaspis_bacescui,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Small infaunal polychaeta (< 5 mm); ask S. Callá
477,Bacillariophyceae *,Bacillariophyceae,Campylaspis_frigida,Cumacea,Suspension-feeder,Primary producer,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Taken from Campylaspis_maculata; * need to be more specific (which Bacillariophyceae?)
478,Calanus_spp,Zooplankton,Campylaspis_frigida,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Aggregated: Calanus_australis and Calanus_simillimus
479,Clausocalanus_spp,Zooplankton,Campylaspis_frigida,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Aggregated: Clausocalanus_brevipes and Clausocalanus_laticeps
480,Ctenocalanus_vanus,Zooplankton,Campylaspis_frigida,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Inferred from Campylaspis_maculata and Calanoida
481,Drepanopus_forcipatus,Zooplankton,Campylaspis_frigida,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Inferred from Campylaspis_maculata and Calanoida
482,Necromass,Non-living,Campylaspis_frigida,Cumacea,Scavenger,Necromass,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Taken from Campylaspis_maculata
483,Neocalanus_tonsus,Zooplankton,Campylaspis_frigida,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Inferred from Campylaspis_maculata and Calanoida
484,Polychaeta *,Polychaeta,Campylaspis_frigida,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Taken from Campylaspis_maculata; * need to be more specific (which Polychaeta?)
485,Polychaeta *,Polychaeta,Campylaspis_frigida,Cumacea,Hunter,Heterotroph,Blazewicz-Paszkowycz&Ligowski_2002,https://doi.org/10.1017/S0954102002000524,Small infaunal polychaeta (< 5 mm); ask S. Callá
486,Amphipoda *,Amphipoda,Campylonotus_vagans,Decapoda,Hunter,Heterotroph,Lovrich_pers.com.,NA,Inferred from Peracarida
487,Cumacea *,Cumacea,Campylonotus_vagans,Decapoda,Hunter,Heterotroph,Lovrich_pers.com.,NA,Inferred from Peracarida
488,Detritus,Non-living,Campylonotus_vagans,Decapoda,Suspension-feeder,Detritus,Lovrich_pers.com.,NA,
489,Isopoda *,Isopoda,Campylonotus_vagans,Decapoda,Hunter,Heterotroph,Lovrich_pers.com.,NA,Inferred from Peracarida
490,Polychaeta *,Polychaeta,Campylonotus_vagans,Decapoda,Hunter,Heterotroph,Lovrich_pers.com.,NA,
491,Calanus_spp,Zooplankton,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,Aggregated: Calanus_australis and Calanus_simillimus
492,Careproctus_sp,Fish_BenPel,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,
493,Cnidaria *,Cnidaria,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,* need to be more specific (which Cnidaria?)
494,Copepoda *,Zooplankton,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,* need to be more specific (which Copepoda?)
495,Cumacea *,Cumacea,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,* need to be more specific (which Cumacea?)
496,Detritus,Non-living,Careproctus_sp,Fish_BenPel,Deposit-feeder,Detritus,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,
497,Lithodes_turkayi,Decapoda,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,Inferred from Lithodes_sp
498,Munida_gregaria,Decapoda,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,Inferred from Lithodes_sp
499,Pagurus_comptus,Decapoda,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,Inferred from Lithodes_sp
500,Polychaeta *,Polychaeta,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,* need to be more specific (which Polychaeta?)
501,Themisto_gaudichaudii,Amphipoda,Careproctus_sp,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Careproctus,
502,Octocorals,Cnidaria,Ceramaster_patagonicus,Echinodermata,Hunter,Heterotroph,Mah_2006,https://repository.si.edu/bitstream/handle/10088/21587/iz_Circeaster_Mah.pdf,
503,Phytoplankton *,Phytoplankton,Chaetarcturus_sp1,Isopoda,Suspension-feeder,Primary producer,Doti_pers.com.,NA,* consultar por phytoplankton resuspendido
504,Phytoplankton *,Phytoplankton,Chaetarcturus_sp2,Isopoda,Suspension-feeder,Primary producer,Doti_pers.com.,NA,* consultar por phytoplankton resuspendido
505,Detritus,Non-living,Chaetopterus_antarcticus,Polychaeta,Deposit-feeder,Detritus,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,* need to be more specific (which Phyto/Zooplankton?)
506,Astrotoma_agassizii,Echinodermata,Cheiraster_(Luidiaster)_gerlachei,Echinodermata,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/4702963,
507,Detritus,Non-living,Cheiraster_(Luidiaster)_gerlachei,Echinodermata,Deposit-feeder,Detritus,Encyclopedia of Life,https://eol.org/pages/4702963,
508,Ophiacantha_sp,Echinodermata,Cheiraster_(Luidiaster)_gerlachei,Echinodermata,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/4702963,Inferred from preying upon O. antarctica
509,Ophiacantha_vivipara,Echinodermata,Cheiraster_(Luidiaster)_gerlachei,Echinodermata,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/4702963,Inferred from preying upon O. antarctica
510,Detritus,Non-living,Cirratulidae,Polychaeta,Deposit-feeder,Detritus,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,
511,Foraminifera,Foraminifera,Cirratulidae,Polychaeta,Deposit-feeder,Primary producer,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Foraminifera,
